product_id,Product Name,Batch,Checker,0
31538,Bumifood Hakau Udang 222 gram,Split Hub,Aman,
31539,Bumifood Ebi Furai 220 gram,Split Hub,Aman,
31704,Keju Bega Cheese Stringers Mozarella (4x20gr),Split Hub,Aman,
31777,Golden Farm Edamame Salted 450 gram,Split Hub,Aman,
31800,Kanzler Garlic Frankfurter Sausages 300 gram,Split Hub,Aman,
31813,Salmon Belly 230-250gram,Split Hub,Aman,
31815,Ikan Tuna Saikoro 500 gram,Split Hub,Aman,
31880,Meatboys Burger Patty 100% Black Angus 3 x 150gr,Split Hub,Aman,
31881,Tetelan Sapi Import 500 gram,Split Hub,Aman,
31882,Iga Gondrong Sapi Import 500 gram,Split Hub,Aman,
31900,Ikan Dori NBL Premium 500 gram,Split Hub,Aman,
31925,Heavenly Blush Greek Lychee Yogurt 100 gram,Split Hub,Aman,
32105,Wall's Paddle Pop Ice Cream Minion Cup - Es Krim Walls 90 ml,Split Hub,Aman,
32184,Bernardi Delicatessen Breakfash Sausage With Cheese 190 gram,Split Hub,Aman,
32185,Bernardi Bakso Sapi Besar 25pcs 340 gram,Split Hub,Aman,
32186,Bernardi Beef Burger 12 pcs,Split Hub,Aman,
32190,Golden Farm French Fries Shoestring 1000 gram,Split Hub,Aman,
32248,Bernardi Sosis Sapi 1 kg,Split Hub,Aman,
32318,Dada Fillet Organik Berkah Chicken 500 gram,Split Hub,Aman,
32319,Ayam Organik 9 Parting Berkah Chicken 800 - 900gram,Split Hub,Aman,
32336,El Primo Smoked Beef Ham Sliced Round 500 gram,Split Hub,Aman,
32339,Bernardi Bakso Sapi Kasar 25pcs x 360gr,Split Hub,Aman,
32340,Bernardi Tom Yum Instan 300 gram,Split Hub,Aman,
32341,Bernardi Bakso Ikan 50pcs x 360gr,Split Hub,Aman,
32415,Yummy Yogurt Plain 80 gram,Split Hub,Aman,
32430,Biokul Stirred Yogurt Apricot 80 gram,Split Hub,Aman,
32436,Biokul Strawberry Yogurt Drink 150 ml,Split Hub,Aman,
32437,Biokul Mango Yogurt Drink 150 ml,Split Hub,Aman,
32446,Golden Farm French Fries Crinkle Cut 1 kg,Split Hub,Aman,
32449,Walls Oreo Stick 80 ml,Split Hub,Aman,
32549,Ile De France Mini Brie Cheese 5pcs x 25gr,Split Hub,Aman,
32570,Cimory Yogurt Drink Low Fat Strawberry & Mango 250 ml,Split Hub,Aman,
32571,Cimory Yogurt Drink Low Fat Banana 240 ml,Split Hub,Aman,
32696,Heavenly Blush Greek Yogurt Plain 330 ml,Split Hub,Aman,
32709,Cimory Yogurt Drink Low Fat Original 240 ml,Split Hub,Aman,
32725,Diamond Jungle Juice Pineapple/ Jus Nanas 1 Liter,Split Hub,Aman,
32728,Diamond Jungle Juice Lemon 1 Liter,Split Hub,Aman,
32748,Walls Magnum Mango Yoghurt Parfait 80 ml,Split Hub,Aman,
32833,Belfoods Chicken Cocktail Sausages 400 gram,Split Hub,Aman,
32853,Greenfields Susu Fresh Milk Caffe Latte 950 ml,Split Hub,Aman,
32856,Heavenly Blush Yoguruto Blackcurrant Yogurt 24pcs x 180ml,Split Hub,Aman,
32897,Alba Parmesan Wedge/ Keju Parmesan 200 gram,Split Hub,Aman,
33154,Kraft Keju Cheddar Mini 30 gram,Split Hub,Aman,
33217,Sumber Selera Bakso Sapi Premium 50pcs 650 gram,Split Hub,Aman,
33252,Unagi Kabayaki M 100 gram,Split Hub,Aman,
33314,Greenfields Original Yogurt 1000 gram,Split Hub,Aman,
33315,Greenfields Plain Yogurt 1000 gram,Split Hub,Aman,
33332,Greenfields Fresh Milk Full Cream/Susu Segar 1890 ml,Split Hub,Aman,
33354,Edo Petite Croissant Cheese Crust 66 gram,Split Hub,Aman,
33355,Edo Petite Croissant Butterlicious 66 gram,Split Hub,Aman,
33356,Edo Puff Pastry Sheet 750 gram,Split Hub,Aman,
33378,Haagen-Dazs Caramel Biscuit & Cream Ice Cream Mini Cup 100 ml,Split Hub,Aman,
33673,Sumber Selera Bakso Isi Keju 300 gram,Split Hub,Aman,
33674,Sumber Selera Bakso Polos Daging Kombinasi dan Ayam 650 gram,Split Hub,Aman,
33719,Kanzler Crispy Spicy Chicken Nugget 450gram 450 gram,Split Hub,Aman,
33724,Benfarm Mac and Cheese Bites 180 gram,Split Hub,Aman,
33751,Paletas Wey Mango Strawberry 100 gram,Split Hub,Aman,
